127.0.0.1 - - [28/Aug/2019:03:13:35 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:36 +0900] "GET /Test/model.jsp HTTP/1.1" 500 2331
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/login.jsp HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/image/logo.png HTTP/1.1" 200 60817
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/image/empty.png HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/image/gs.png HTTP/1.1" 200 467601
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:48 +0900] "GET /Test/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:51 +0900] "POST /Test/loginAction.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:52 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:52 +0900] "GET /Test/image/b.jpg HTTP/1.1" 200 852805
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:55 +0900] "GET /Test/predict.jsp HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:55 +0900] "GET /Test/image/analysis.png HTTP/1.1" 200 34416
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:57 +0900] "GET /Test/model.jsp HTTP/1.1" 200 7693
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:13:57 +0900] "GET /Test/image/statistics.png HTTP/1.1" 200 42743
0:0:0:0:0:0:0:1 - - [28/Aug/2019:03:14:05 +0900] "POST /Test/modelfit.jsp HTTP/1.1" 200 2375
